id,text_no_spaces,predicted_positions,predicted_text
968,"Тыхотелбытьодин,этобыстропрошло,","[2, 8, 13, 19, 23, 30]","Ты хотелб ытьод ин,это быст ропрошл о,"
969,"Тыхотелбытьодин,нонесмогбытьодин,","[2, 8, 13, 19, 22, 25, 30]","Ты хотелб ытьод ин,нон есм огб ытьод ин,"
970,"Твояношалегка,нонемеетрука,","[4, 10, 16, 19, 22]","Твоя ношале гка,но нем еет рука,"
971,Итывстречаешьрассветзаигройвдурака.,"[3, 11, 15, 23, 26, 32, 34]",Иты встречае шьра ссветзаи гро йвдура ка .
972,"Утромтыстремишьсяскорееуйти,","[5, 8, 19, 27]","Утром тыс тремишьсяск орееуйти ,"
973,"Телефонныйзвонок,каккоманда'Вперед!'","[9, 18, 22, 30]","Телефонны йзвонок,к акко манда'Вп еред!'"
974,"Тыуходишьтуда,куданехочешьидти,","[2, 10, 16, 21, 24]","Ты уходишьт уда,ку данех оче шьидти,"
975,"Тыуходишьтуда,нотебятамниктонеждет!","[2, 10, 16, 19, 24, 28, 34]","Ты уходишьт уда,но теб ятамн икто неждет !"
976,Яидупоулицевзеленомпиджаке.,"[1, 5, 8, 15]",Я идуп оул ицевзел еномпиджаке.
977,Мненравятсямоиботинки.,"[4, 12, 16]",Мнен равятсям оибо тинки.
978,Аещекрасивыйгалстукуменя.,"[1, 5, 11, 18, 24]",А ещек расивы йгалсту куменя .
979,"Ягладилбрюкидвачаса,","[1, 8, 14, 18]","Я гладилб рюкидв ачас а,"
980,Впарикмахерскойсиделсутра.,"[1, 16, 22]",В парикмахерскойс иделсу тра.
981,"Ивотидуяпоулице,одиня.","[1, 10, 13, 20]","И вотидуяпо ули це,один я."
982,Поулицеидуя.,[2],По улицеидуя.
983,Поулицеодин.,"[2, 8]",По улицео дин.
984,Умоегоприятеляестьновыепластинки.,"[1, 7, 16, 21, 27]",У моегоп риятеляес тьнов ыеплас тинки.
985,Иязайдувкафеивыпьючашкукофе.,"[1, 3, 9, 11, 17, 23]",И яз айдувк аф еивыпь ючашку кофе.
986,Апотомпойдукнему.,"[1, 7, 13, 15]",А потомп ойдукн ем у.
987,ИвзеркалахвитринятакпохожнаБодиХоли.,"[1, 3, 12, 20, 24, 32]",И вз еркалахви тринятак похо жнаБодиХ оли.
988,Папаскородастсвоюмашинупокататьсямне.,"[4, 12, 15, 20, 27]",Папа скородас тсв оюмаш инупока татьсямне.
989,Идуя.,[],Идуя.
990,Поулицеодиня.,"[2, 8]",По улицео диня.
991,Идуяпоулицеодин.,"[4, 7, 13]",Идуя поу лицеод ин.
992,Весна-постоянныйнасморк.,"[3, 17, 20]",Вес на-постоянныйн асм орк.
993,Весна-солнцесветитопять.,"[3, 14]",Вес на-солнцесв етитопять.
994,Ияпромочилноги.,"[1, 3, 12]",И яп ромочилно ги.
995,Весна-ияопятьидугулять.,[3],Вес на-ияопятьидугулять.
996,Весна-янемогуусидетьдома.,"[3, 7, 9, 12, 17]",Вес на-я не мог уусид етьдома.
997,Весна-ялюблювесну.,[3],Вес на-ялюблювесну.
998,Очемпоютвмоемдворекошки?,"[1, 5, 10, 12, 17, 23]",О чемп оютвм ое мдвор екошки ?
999,"Нет-нет-нет-нет,",[3],"Нет -нет-нет-нет,"
1000,Янеусну.,"[1, 4]",Я неу сну.
1001,Весна-яуженегреюпио.,[8],Весна-яу женегреюпио.
1002,Весна-скоровырастеттрава.,"[3, 21]",Вес на-скоровырастеттр ава.
1003,"Весна-выпосмотрите,каккрасиво.","[3, 7, 10, 22, 26]","Вес на-в ыпо смотрите,как крас иво."
1004,Весна-гдемояголова?,"[3, 10]",Вес на-гдем ояголова?
